task,seed,comparison,design,N,clusters,replicates,R2_difference,R2_CI_low,R2_CI_high,excludes_zero
CityLens Healthcare overlap,42,Paired-minus-SatelliteTeacher,city,2204,13,2000,0.0065276996803428355,-0.012587325491867075,0.02605785566176945,False
CityLens Healthcare overlap,42,Paired-minus-NoPrivilege,city-block,2204,130,2000,0.00952370419362858,-0.020117687775406075,0.0415870520806198,False
CityLens Healthcare overlap,42,Paired-minus-GlobalShuffled,city-block,2204,130,2000,-0.0037649738443669145,-0.02066560550363041,0.015888247203424556,False
CityLens Healthcare overlap,42,Paired-minus-SatelliteTeacher,city-block,2204,130,2000,0.0065276996803428355,-0.018456813936845177,0.030639926336941622,False
CityLens Healthcare overlap,43,Paired-minus-NoPrivilege,city,2204,13,2000,0.021413331696687354,-0.002023756570490463,0.04962004331196202,False
CityLens Healthcare overlap,43,Paired-minus-GlobalShuffled,city,2204,13,2000,0.005872485244701076,-0.011196285328133855,0.029157639346266778,False
CityLens Healthcare overlap,43,Paired-minus-SatelliteTeacher,city,2204,13,2000,0.022680459850516255,0.0003983655226215375,0.04739355339831863,True
CityLens Healthcare overlap,43,Paired-minus-NoPrivilege,city-block,2204,130,2000,0.021413331696687354,-0.011778811914055087,0.05438729937534458,False
CityLens Healthcare overlap,43,Paired-minus-GlobalShuffled,city-block,2204,130,2000,0.005872485244701076,-0.014515539706181505,0.030223407097141927,False
CityLens Healthcare overlap,43,Paired-minus-SatelliteTeacher,city-block,2204,130,2000,0.022680459850516255,-0.006837278147409081,0.05704544992961013,False
CityLens Healthcare overlap,44,Paired-minus-NoPrivilege,city,2204,13,2000,0.01069821150591943,-0.00598662305833036,0.030668800567058726,False
CityLens Healthcare overlap,44,Paired-minus-GlobalShuffled,city,2204,13,2000,-0.0071591775931967305,-0.02197921664555339,0.012067390496524324,False
CityLens Healthcare overlap,44,Paired-minus-SatelliteTeacher,city,2204,13,2000,0.012331113966374985,-0.009567246932210177,0.03891713875225962,False
CityLens Healthcare overlap,44,Paired-minus-NoPrivilege,city-block,2204,130,2000,0.01069821150591943,-0.0178984766869282,0.041493363170778695,False
CityLens Healthcare overlap,44,Paired-minus-GlobalShuffled,city-block,2204,130,2000,-0.0071591775931967305,-0.02976620919415759,0.016906523705516274,False
CityLens Healthcare overlap,44,Paired-minus-SatelliteTeacher,city-block,2204,130,2000,0.012331113966374985,-0.015219120403746216,0.04471378437504486,False
CityLens Healthcare overlap,45,Paired-minus-NoPrivilege,city,2204,13,2000,0.02078190053274953,0.002264564695382,0.0458114167152447,True
CityLens Healthcare overlap,45,Paired-minus-GlobalShuffled,city,2204,13,2000,0.004313670142833459,-0.012682721321461313,0.028280616734185356,False
CityLens Healthcare overlap,45,Paired-minus-SatelliteTeacher,city,2204,13,2000,0.014185588215322231,-0.0018335564459937542,0.03338959226026114,False
