task,seed,city,N,model,R2,RMSE,MAE
CityLens Healthcare overlap,42,Beijing,29,Within-city Global,-0.13657308423662262,1.2215623112795442,1.0292771460388774
CityLens Healthcare overlap,42,Beijing,29,Satellite,-0.04975406807318383,1.1739800711756212,0.9771620855261809
CityLens Healthcare overlap,42,CapeTown,252,Minimum-cost Intermediate,0.08355796909916136,0.9798701152096648,0.6912172019728631
CityLens Healthcare overlap,42,CapeTown,252,Parameter-matched,0.03181429641077804,1.0071527563610503,0.7076694220421829
CityLens Healthcare overlap,42,CapeTown,252,Exact,0.06191789500441647,0.9913715204514292,0.7153891282462371
CityLens Healthcare overlap,42,CapeTown,252,Within-city Global,0.060523938501301,0.9921078183604569,0.6895388984690796
CityLens Healthcare overlap,42,CapeTown,252,Satellite,-0.02754941720936044,1.0375699172040485,0.7291746557276734
CityLens Healthcare overlap,42,London,198,Minimum-cost Intermediate,0.08959784285296257,0.9921962893376137,0.7368588067671158
CityLens Healthcare overlap,42,London,198,Parameter-matched,0.01248987334942575,1.0333602185277366,0.7780140632050337
CityLens Healthcare overlap,42,London,198,Exact,0.09535015840697647,0.9890567590783488,0.7453934043625752
CityLens Healthcare overlap,42,London,198,Within-city Global,0.07101321787462567,1.0022722977220833,0.7400382220790575
CityLens Healthcare overlap,42,London,198,Satellite,0.046435024580322115,1.0154442973080136,0.7801842753806291
CityLens Healthcare overlap,42,Moscow,206,Minimum-cost Intermediate,0.1440903533456892,1.0554332132431994,0.9024396571079514
CityLens Healthcare overlap,42,Moscow,206,Parameter-matched,0.07962782365415944,1.0944565802986337,0.9203483633601633
CityLens Healthcare overlap,42,Moscow,206,Exact,0.1597606451258039,1.0457269623127783,0.901778208154848
CityLens Healthcare overlap,42,Moscow,206,Within-city Global,0.10180402585141368,1.081190816701086,0.9109304247105631
CityLens Healthcare overlap,42,Moscow,206,Satellite,0.11338866185730467,1.0741957669158833,0.89945923990088
CityLens Healthcare overlap,42,Mumbai,108,Minimum-cost Intermediate,0.02024457388674661,1.2628636195073144,1.0153003796594295
CityLens Healthcare overlap,42,Mumbai,108,Parameter-matched,-0.10679320796374547,1.342242099259911,1.1091613261710618
CityLens Healthcare overlap,42,Mumbai,108,Exact,0.08946868487528303,1.2174329644251807,0.99534468070395
CityLens Healthcare overlap,42,Mumbai,108,Within-city Global,-0.028333514985204644,1.2937924390779965,1.0610715443034924
CityLens Healthcare overlap,42,Mumbai,108,Satellite,-0.09187727079494201,1.3331669121709844,1.1050516263490477
CityLens Healthcare overlap,42,Nairobi,119,Minimum-cost Intermediate,0.14813492944414086,1.1495184999574612,0.949189045378389
CityLens Healthcare overlap,42,Nairobi,119,Parameter-matched,0.16300759131823783,1.1394396268938467,0.9241693477792687
CityLens Healthcare overlap,42,Nairobi,119,Exact,0.1472318421262887,1.1501276578078752,0.9160251083104725
CityLens Healthcare overlap,42,Nairobi,119,Within-city Global,0.10645733067604835,1.177302883291049,0.9513460692850652
