task,seed,city,N,model,R2,RMSE,MAE
CityLens Population,43,CapeTown,245,Satellite-teacher KD,0.4822313389704844,1.40106534860205,0.9924430239301224
CityLens Population,43,CapeTown,245,Global-shuffled KD,0.46264914999029383,1.4273138567981558,1.0019978523522222
CityLens Population,43,London,197,No-Privilege,0.09539582480617326,1.1164221946629502,0.7724333798258151
CityLens Population,43,London,197,Paired KD,0.1985753393404538,1.050825295998403,0.7448805515661626
CityLens Population,43,London,197,Satellite-teacher KD,0.2799805348945773,0.9960274017595184,0.7133170339433619
CityLens Population,43,London,197,Global-shuffled KD,0.2574613675659032,1.0114832486035068,0.7222666687338969
CityLens Population,43,Moscow,205,No-Privilege,-0.4127016701127939,0.7811986839586444,0.6195892684884674
CityLens Population,43,Moscow,205,Paired KD,-0.2879058750947443,0.7458960990723812,0.5858968812673627
CityLens Population,43,Moscow,205,Satellite-teacher KD,-0.36913225556491835,0.7690577885326056,0.6094186360125201
CityLens Population,43,Moscow,205,Global-shuffled KD,-0.21989299348515168,0.7259340076259693,0.5810772561717223
CityLens Population,43,Mumbai,105,No-Privilege,-2.918338706394221,1.7416380901836925,1.2256085539148631
CityLens Population,43,Mumbai,105,Paired KD,-2.6438421999404,1.6795259087154202,1.192477587561678
CityLens Population,43,Mumbai,105,Satellite-teacher KD,-2.795404716273002,1.714099284462288,1.2674239120947106
CityLens Population,43,Mumbai,105,Global-shuffled KD,-2.512959684062763,1.6490867794745971,1.168317306827214
CityLens Population,43,Nairobi,119,No-Privilege,0.39726582337777594,1.2233761922483555,0.977738421236854
CityLens Population,43,Nairobi,119,Paired KD,0.4604557293642132,1.1574724378874726,0.9332376860577438
CityLens Population,43,Nairobi,119,Satellite-teacher KD,0.4483756805889544,1.1703582421899323,0.9459881204228549
CityLens Population,43,Nairobi,119,Global-shuffled KD,0.45221921583577884,1.1662737809879702,0.9478849614292132
CityLens Population,43,NewYork,202,No-Privilege,0.29179385965657234,1.5049900755894166,1.03228617764895
CityLens Population,43,NewYork,202,Paired KD,0.3560102933660514,1.435136648530355,0.9789943742464411
CityLens Population,43,NewYork,202,Satellite-teacher KD,0.3483572214768711,1.443638931738362,0.9696533975053576
CityLens Population,43,NewYork,202,Global-shuffled KD,0.328116020282744,1.4658884909270278,0.9630339664162265
CityLens Population,43,Paris,130,No-Privilege,0.19027898782316066,0.6408334633540191,0.4889960837429013
CityLens Population,43,Paris,130,Paired KD,0.28149778614235954,0.603658795082461,0.472183745091537
CityLens Population,43,Paris,130,Satellite-teacher KD,0.26222948173046934,0.6116994999898253,0.4777324731225628
CityLens Population,43,Paris,130,Global-shuffled KD,0.2841802757889007,0.6025308774052558,0.4699581557606752
CityLens Population,43,SanFrancisco,157,No-Privilege,0.22126837470734595,2.0669125183852253,1.3365305596420969
CityLens Population,43,SanFrancisco,157,Paired KD,0.2980544309920862,1.9623655356619505,1.2828730905903312
CityLens Population,43,SanFrancisco,157,Satellite-teacher KD,0.3632612460900261,1.8689979758671948,1.1888303610202833
CityLens Population,43,SanFrancisco,157,Global-shuffled KD,0.35505912705733855,1.880997160669873,1.194212042170802
CityLens Population,43,SaoPaulo,280,No-Privilege,0.43865631121583903,1.256389155982887,0.8513980723316662
CityLens Population,43,SaoPaulo,280,Paired KD,0.4750812320458869,1.2149427327233548,0.833817626459521
CityLens Population,43,SaoPaulo,280,Satellite-teacher KD,0.5070563606292359,1.1773575977904491,0.8052272617677136
CityLens Population,43,SaoPaulo,280,Global-shuffled KD,0.4711827596916879,1.219445961912762,0.8181547710806926
CityLens Population,43,Shanghai,19,No-Privilege,-0.09983144048971426,1.3273856767524443,1.0397044548442593
CityLens Population,43,Shanghai,19,Paired KD,-0.051319465296687294,1.2977810086300303,1.0447843457917045
CityLens Population,43,Shanghai,19,Satellite-teacher KD,-0.015026021424400904,1.2751833977828075,1.036874024763243
CityLens Population,43,Shanghai,19,Global-shuffled KD,0.03236499322022246,1.2450587582508912,1.0229756019197116
CityLens Population,43,Sydney,205,No-Privilege,0.022232555387629027,1.8437217323555755,1.281413372463101
CityLens Population,43,Sydney,205,Paired KD,0.16592258944417115,1.7028671514337725,1.1706820492735859
CityLens Population,43,Sydney,205,Satellite-teacher KD,0.1688274647841127,1.699899242703123,1.1846269533656277
CityLens Population,43,Sydney,205,Global-shuffled KD,0.14593196341834924,1.7231529293747332,1.1865077427965909
CityLens Population,43,Tokyo,280,No-Privilege,0.21319845295749296,0.7231743426620115,0.5591078230825045
CityLens Population,43,Tokyo,280,Paired KD,0.3162996539124867,0.6741294603335649,0.5340416790746318
CityLens Population,43,Tokyo,280,Satellite-teacher KD,0.3405569366381742,0.6620626058605166,0.5128487094045469
CityLens Population,43,Tokyo,280,Global-shuffled KD,0.3631059893685066,0.6506448390839958,0.5073992344571587
CityLens Population,44,Beijing,29,No-Privilege,-0.6855876038576825,1.226302865853252,0.927627908791868
CityLens Population,44,Beijing,29,Paired KD,-0.5374266862416455,1.1711682395820595,0.896485144889507
CityLens Population,44,Beijing,29,Satellite-teacher KD,-0.36117774621746856,1.101994682648552,0.85315368713025
CityLens Population,44,Beijing,29,Global-shuffled KD,-0.9297072415248533,1.3121025881424333,1.0133762276132865
CityLens Population,44,CapeTown,245,No-Privilege,0.5154649069908501,1.3553552125838675,0.971837838623246
CityLens Population,44,CapeTown,245,Paired KD,0.48950445817060606,1.3911901332077246,0.9884409917762439
CityLens Population,44,CapeTown,245,Satellite-teacher KD,0.48967180577506275,1.3909620886902174,0.979355019049066
CityLens Population,44,CapeTown,245,Global-shuffled KD,0.46978118660248436,1.4178101421301776,0.9964605167625478
CityLens Population,44,London,197,No-Privilege,0.2091667290385979,1.0438585045634303,0.7405454947320492
CityLens Population,44,London,197,Paired KD,0.22092037936620768,1.0360723646894847,0.7357937005395779
CityLens Population,44,London,197,Satellite-teacher KD,0.26898979242935395,1.0036005449675818,0.722250977799035
CityLens Population,44,London,197,Global-shuffled KD,0.2488580413306004,1.0173260818742693,0.7210145844063783
CityLens Population,44,Moscow,205,No-Privilege,-0.16142016238110046,0.7083223643126528,0.5682340496837952
CityLens Population,44,Moscow,205,Paired KD,-0.055321464400535314,0.6751941322392998,0.5423241335846395
CityLens Population,44,Moscow,205,Satellite-teacher KD,-0.2524494599986724,0.7355570775124856,0.5636953877698011
CityLens Population,44,Moscow,205,Global-shuffled KD,-0.07984683754788069,0.6829947321863962,0.5434183112121888
CityLens Population,44,Mumbai,105,No-Privilege,-2.8601308178178284,1.7286534554198114,1.2468215791361965
CityLens Population,44,Mumbai,105,Paired KD,-2.283645373893787,1.5943550850396084,1.1096730866996602
CityLens Population,44,Mumbai,105,Satellite-teacher KD,-2.488187793360022,1.6432621654563264,1.1827609739912097
CityLens Population,44,Mumbai,105,Global-shuffled KD,-2.548291019334501,1.6573588175335534,1.1491336799994596
CityLens Population,44,Nairobi,119,No-Privilege,0.38725370954547267,1.2334951920631088,0.9738042553201111
CityLens Population,44,Nairobi,119,Paired KD,0.4494549328477433,1.1692127794571792,0.9544935828607741
CityLens Population,44,Nairobi,119,Satellite-teacher KD,0.4597613092958809,1.1582170604104651,0.9285672994049663
CityLens Population,44,Nairobi,119,Global-shuffled KD,0.40349389079427167,1.2170391911502754,0.9966502844752668
CityLens Population,44,NewYork,202,No-Privilege,0.3048667715453357,1.4910349263585734,0.9824066100295467
CityLens Population,44,NewYork,202,Paired KD,0.33833390422718057,1.4546993103462957,0.9529200587916548
CityLens Population,44,NewYork,202,Satellite-teacher KD,0.35305966070099415,1.4384206464201004,0.9444093762479898
CityLens Population,44,NewYork,202,Global-shuffled KD,0.3214888634002415,1.4731001788357962,0.9494210124031198
CityLens Population,44,Paris,130,No-Privilege,0.18149953969956834,0.644298234355105,0.5091277474151761
